Member ID,Shack Name,Hourly Income,Shifts Worked,Weekly Shifts,Tips Collected,Total Donations,Happiness
125778685730095104,Matt,16870,72,72,83,140000,.75
191111252569751552,Ese Tacos,44775,417,2,517,2345000,.75
201483795168362497,Tacos For Owls,21445,114,8,118,0,1
209733431301505024,The Mexican Wrap,32310,269,0,303,1060000,0
253881449730670592,RetiredParatrooper,24100,169,82,225,320000,1
253881449730670592,TakisTacosTT,23600,285,164,366,310000,.75
292839877563908097,Top Tacos Throughout Ten Towns,48750,22754,539,38646,3680000000,1
298157762431680512,tacobout it,44415,777,6,944,4118000,.75
301515967408635905,Guac it,47050,4667,146,6345,165515000,1
308750093165658121,shack la experiencia mexicana,16910,89,80,119,250000,1
309390733591183360,ME VALE MADRE TAQUERIA,47205,495,2,440,210000,.75
354245190476890113,steveharrington,10150,76,1,33,0,0
370995295565381652,The Strawberry Shack,24035,116,2,153,240000,1
371261879680499734,Taco do Dialogo,14320,51,2,56,20000,.5
379781622704111626,Ink,21975,146,56,208,1428021,1
385230914873196554,TACO TUESDAYYYYYYYYYY,35100,244,0,269,690000,0
397493151620923402,Mackenzies Taco,18275,202,202,274,40000,1
420024269125189637,Lill Taco,47400,3316,71,3517,216125000,1
421879480894881792,atacolypse truck,21080,196,3,95,490000,.75
426225563791917056,Captains Tacos,20380,203,16,208,1280000,1
431623457382334464,Hasta La Vista,41890,418,3,468,2490000,.75
448464012582191125,bigdaddy shack,25305,80,1,95,1130000,1
465668805448957952,CodeShack,41535,1120,55,1538,2815000,.75
471638159227224074,Idiot Sandwich,36915,573,5,666,16797000,1
483276385645756427,TacoBell,14130,20,0,34,50000,0
484206685347512321,TacoMania,46950,1535,0,1891,6570000,.5
490453235140788227,TacosDere,17210,46,0,59,490000,.5
493941319786299411,BugsLife4068,15045,19,0,23,0,0
502763338346921986,jombi taco,36290,456,1,508,1300000,.75
507918436941430785,french tacos,39820,336,1,442,6500000,1
516065444596154389,BigglesHouseOfTacos,41300,7969,268,11681,1340450018,1
518212782970109952,Cindy Tacos,47400,1396,7,1763,24043214,1
532744911326412820,Jacos Joint,41520,1251,3,1515,2580000,.5
542844120302092325,RedTheVisionary,21240,96,6,124,500000,.75
546170848357384223,Thousand Wishes Tacos,47400,2958,8,4824,6310000,.75
551960360576483329,miruru,40575,3085,0,4444,3809999,0
555669522523357184,WonderTacos,45100,1508,3,2518,3667808,.75
562285917050634241,oldemtacos,22485,216,1,242,490150,1
567666614896558082,Yummy,21020,259,32,286,140000,1
569714402849456139,Tacos R Us,39630,1742,38,2033,0,.75
577444133103206401,Distorted Tacos,35835,566,6,659,101000000,1
582217825872248848,tacos,46925,1031,3,1013,5000000,.75
582502975595872267,Got My SHACKles On,21040,73,17,94,290000,1
593735675979890698,Tacos 2Go,13460,257,2,364,13462000,1
597673765811519489,NAFAFDADA,25975,115,1,165,25788574,0
